№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
209487,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДАМ-КАПИТАЛ""",201040036649,,
209467,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDHOUSE KAZAKHSTAN"" / ""МЕДХАУЗ КАЗАХСТАН"" /",100840008133,,
209427,ПАЛАТА ПРЕДПРИНИМАТЕЛЕЙ АКТЮБИНСКОЙ ОБЛАСТИ,131040018190,,
209247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САПАЛЫ ТЕХНОЛОГИЯ""",110240014435,,
209187,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАРИЯ-МЕДИКУС""",210340012833,,
209147,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЗДОРОВИТЕЛЬНЫЙ РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ""ДЕНСАУЛЫҚ""",140140029702,,
209027,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВЫСШИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",020540003749,,
208987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TURLAN MEDICAL""",210640037063,,
208887,"ИП МЦ ""Медикус"" С.А. Сұлтанғазин",,700709300427,
208827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AIDIMED""",200740015946,,
208707,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙАРУ 2021""",210940042249,,
208587,"ип ""КЕНШИМБАЕВ АКЫЛБЕК""",,590822300991,
208547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МН-АРТ""",150440009562,,
208427,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""OPTIMUM DENT""",210940004602,,
208327,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО КОНТРОЛЯ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН""",201040018879,,
208207,ИП АРТЫКБАЕВА ДИНАРА,,880920451232,
208147,"ТОО ""БО-НА""",981240002286,,
208127,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PREMIER PVL""",210140014948,,
208007,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BONAMED""",210740012277,,
207967,ИП ДУЙСЕБАЕВА АЙГУЛЬ,,860405401371,
207887,"ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ОБЩЕСТВО ДЕТЕЙ-ИНВАЛИДОВ Г. АСТАНА""",990940004089,,
207827,"ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АСТ АСТАНА СОЦИАЛЬНЫХ ТЕХНОЛОГИЙ""",140840018881,,
207787,"ОБЩЕСТВЕННЫЙ ФОНД ""БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ДЕТЕЙ-ИНВАЛИДОВ БАЛАМ-АЙ""",081240003922,,
207727,ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «NURBERGEN HEALTH RESORT»,050340011272,,
207647,ИП ӘЛИ ЖАНБОЛАТ,,650802300659,
207487,"ТОО ""Promedical2021""",210340013878,,
207427,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГИГИЕНИСТ VII""",160140003792,,
207367,"ТОО ""SAYAT MEDICAL CENTER""",210240016859,,
207327,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SOFIT""",070140024607,,
207287,"ИП ""КЕНШИМБАЕВ А.К""",,590822300991,
207127,ИП МАГЗУМОВА АЛМАГУЛЬ,,720202400560,
207047,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОМЕД-ТАРАЗ""",210440030673,,
207007,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NEO MED SEMEY""",190840026801,,
206927,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНА 100 +""",141240005993,,
206867,"ТОО ""КЛИНИКА ЕЛАМАН""",171040001945,,
206827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SE-DENT""",210840029199,,
206727,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛАССИК ЦЕНТР ДЕНТ""",031040007906,,
206667,"ТОО ""АРТ ДЕНТ КЗО""",210940002775,,
206567,"ДК ""КУРМАНОВА Г.К.""",,641126400621,
206507,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""PROFOSMOTR""",180840017563,,
206467,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛАССИК-АР""",050140010990,,
206327,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SEITENOV CORPORATION""",181040021515,,
206287,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУАНЫШ-CLINIC""",210940046935,,
206247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДСТРОЙ-ШАНЫРАҚ""",121240016129,,
206167,ИП БАЙТУРСЫНОВА ШОЛПАН,,610412401715,
206127,ИП Баракат,,781026403640,
205807,ИП ЕРЛИБЕКОВА А.А.,,540731401050,
205747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDFARABI""",200740007073,,
205707,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SMART SOLUTION LTD""",140740003750,,
205647,ИП СҮЛЕЙМЕН БЕҚБОЛАТ,,840328302708,
205547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПРЕСС ФИТНЕС""",140540024558,,
205467,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛАЯ ВЕРШИНА""",200640010496,,
205407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ADILSTOM""",210640031351,,
205307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕЙРОЦЕНТР""",190740026580,,
205167,"РЕСПУБЛИКАНСКОЕ ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ОБЩЕСТВО НЕФРОЛОГОВ, ВРАЧЕЙ ДИАЛИЗА И ТРАНСПЛАНТОЛОГОВ""",140240015479,,
205047,"ТОО ""АСЕМ ДЕНТ""",120340017158,,
204987,"ТОО ""ДАНИЯМЕД""",210840026302,,
204807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ""САЛАУАТ""",971140002954,,
204727,"ТОО ""ГАРАНТ-ТРЕЙДИНГ""",081140015177,,
204587,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KENZHETAYEV CLINIC(КЕНЖЕТАЕВ КЛИНИК)""",210940015618,,
204547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AIS MED""",211040000253,,
204427,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ORTHO DENT""""",190540002774,,
204387,ИП ТУРСУНОВ БОЛАТ,,680803300035,
204347,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЖАМБЫЛСКАЯ ОБЛАСТНАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""",211040001747,,
204287,"""МЕДИЦИНСКИЙ ЦЕНТР ""САД ДОЛГОЛЕТИЯ""",110340005414,,
204227,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-АЛТЫН""",151040018480,,
204167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""GLOBAL SAVE PHARMA""",201140034273,,
204127,"""ЖАНДОС МЕД"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",201040020771,,
204067,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАГНОСТИЧЕСКИЙ ЦЕНТР ""НЕЙРОМЕД""",030240008611,,
204027,"ШЫМКЕНТСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICAL CENTER SHUBARSU (МЕДИКАЛ ЦЕНТР ШУБАРСУ)""",211041003739,,
203987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЖДУНАРОДНЫЙ МЕДИЦИНСКИЙ ТОРГОВЫЙ ДОМ"" (INTERNATIONAL MEDICAL TRADE HOUSE)",020140005295,,
203927,"ТОО ""ДАНА МЕД УЗИ""",210740032204,,
203887,"Товарищество с ограниченной ответственностью ""Life Medical Solutions""",031140016493,,
203807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""GAIDE""",170240011223,,
203767,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDEFERENT""",190540024209,,
203707,ИП ИМАНБЕКОВ КАЙРАТ,,720322302156,
203667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЦ ""NUR-O’MIR""",190440024008,,
203547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NEURON CLINIC""",191240018297,,
203467,"Товарищество с ограниченной ответственностью ""Almaty Clinic""",210740011142,,
203407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЛЮКС""",040740001733,,
203247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМ ЛЮКС KZ""",160140013531,,
203187,"ФИЛИАЛ КОМПАНИИ С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MACLEODS PHARMACEUTICALS LIMITED"" (МАКЛЕОДС ФАРМАСЬЮТИКЛС ЛИМИТЕД)",101041016331,,
203127,ИП АУБАКИРОВА САУЛЕ,,750305400406,
203027,ИП УСАЧЁВ СЕРГЕЙ,,850224301072,
202927,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""32 ДЕНТОМЕД""",210540030250,,
202887,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICAL CENTER ""ZAM-ZAM"" (МЕДИЦИНСКИЙ ЦЕНТР ""ЗАМ-ЗАМ"")""",200940031995,,
202807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИТ-СТОМ КЫЗЫЛОРДА""",190740031983,,
202767,"ИП ""БЕРЕКЕ""",,920101302473,
202667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NOVIRS""",111240006803,,
202607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ASIAN CS""",120840006319,,
202567,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОВИСТА""",150940000606,,
202507,ИП ЖУМАХАЕВ АМАНБАЙ,,740122300572,
202467,"ИП ""TSS group""",,730909302238,
202407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TRINITY CORP""",210440011358,,
202367,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР РЕПРОДУКТИВНОГО ЗДОРОВЬЯ АРМАН""",191140025692,,
202267,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""QAZMED.KZ""",200540023701,,
202167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСЫЛ-АЙ STOM""",210640000410,,
202127,ИП АБДОНОВА ЭЛЕОНОРА,,930517400724,
202067,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""RIO MED""",210740022871,,
201967,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""S&S MEDICAL""",200840028793,,
201907,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕВРАЗИЙСКИЙ БАНК""",950240000112,,
201587,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛИ-ШИФА МЕД""",210640015548,,
201247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ELEGANT MEDICAL""",150640021925,,
201167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KNYAZ PHARMA LTD""",171040010161,,
201107,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""VICTRIX""",180440023692,,
200887,ИП УРАЗГАЛИЕВА ДИНА,,700818400119,
200807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""LUALI-PHARM""",200440004523,,
200747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ATLAS MEDICAL TRADE""",190740001486,,
200707,ИП АРУТЮНЯН РУЗАННА,,850611401875,
200507,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФТАЛЬМОЛОГИЧЕСКАЯ КЛИНИКА ""КӨЗҚАРАС"" В ГОРОДЕ АКТАУ",080941000616,,
200407,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕСКАБЫЛОВ""",210141020105,,
200367,РСКАЛИЕВА АЙЖАН,,681117400342,
200287,ИП КУРБАНБАЕВ БАЛТАБАЙ,,471115300728,
200247,"НЕКОММЕРЧЕСКОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕДИЦИНСКИЙ УНИВЕРСИТЕТ АСТАНА""",080940008218,,
200027,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""ЭМИРМЕД""",200840017450,,
199967,"ТОО ""ӨРКЕН""",031040007916,,
199927,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НҰРТІЛЕУ-2015""",150740026286,,
199827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АҚМЕРЕЙ МЕД""",200240029660,,
199727,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРУЖАН СТОМ""",190240006161,,
199667,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПРОБЛЕМ БИОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ"" КОМИТЕТА НАУКИ МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",061040004937,,
199567,ТУЛЕУБЕКОВ АСКЕР,,810322300053,
199467,КУСАИНОВА ДИНАРА,,850903450982,
199407,ИП ИСМАИЛОВА ЛЕЙЛА,,830807400918,
199367,"ТОО ""DN clinic""",200540014138,,
199187,ЛОКШИН ВЯЧЕСЛАВ,,581119300158,
199087,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""REGATTA CONSULT""",150340008898,,
199067,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗАХАВТОДОР""",001140000590,,
198947,БАРМАГАМБЕТОВА ЖУЛДУЗ,,780430401896,
198887,ИП ЕШБЕРДІ ҚАЛИДА,,620217400947,
198807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОКТОР ТУЯКОВ""",210840032456,,
198747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-МЕД ЭКСПЕРТ""",210540035162,,
198687,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОСМЕД""",051240010015,,
198647,ИП Жузбай,,610801304536,
198507,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""OLIMP MEDICUS""",200940015745,,
198467,ИП АҚЫЛ ТІС,,840806300809,
198407,"ИП ""МИРАС""",,810907401916,
198347,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DR.BIBI CLINIC""",190640011013,,
198307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРЫНБАСАРОВ НУРХАН НАРТАЕВИЧ""",210740021615,,
198187,БАТПЕНОВА ГУЛЬНАР,,581214400626,
198107,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИНИКА CITYMED""",210340006716,,
198047,"ТОО """"МЕД Лаборатория""""",201040033397,,
197967,ИП КАЛУГА-СТОМ,,590424402178,
197907,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТУДЕНТТІК ЕМХАНА 1""",210440014295,,
197867,ИП АДАХАМОВ ЭЛМУРАТ,,790109399034,
197787,"ГОСУДАРСТВЕННОГО КОММУНАЛЬНОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЖАМБЫЛСКИЙ ОБЛАСТНОЙ МНОГОПРОФИЛЬНЫЙ ЦЕНТР ОНКОЛОГИИ И ХИРУРГИИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""",210540031239,,
197747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TOLIMED""",210540016512,,
197687,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКРУЖНОЙ ДИАГНОСТИЧЕСКИЙ ЦЕНТР""",201240030568,,
197647,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИЯ МЕД-МО""",210740020954,,
197587,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИНИКА ОЛЖА""",210140032817,,
197487,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SINAPHARM INTERNATIONAL"" (СИНАФАРМ ИНТЕРНЭШНАЛ)",110640009899,,
197287,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DENT HOUSE""",210740025454,,
197207,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""ШИФА""",100140011643,,
197167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРУ ДЭНТ""",181040011558,,
197127,"РЕСПУБЛИКАНСКОЕ ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КАЗАХСКАЯ КОЛЛЕГИЯ РЕВМАТОЛОГИИ""",150340023504,,
197007,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЗИ МЕДИКАЛ""",210340021244,,
196907,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""FORMED PHARM""",200640006943,,
196747,"ИП Медицинский центр ""Профи-Dent""",,640501301639,
196527,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НСКТ""",201240004975,,
196487,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСФАН-ДЕНТ КЫЗЫЛОРДА""",210340014866,,
196447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗЕВРОФАРМ""",010940002466,,
196367,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""FORTE - DENT""",171240010218,,
196267,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОТРЭЙД""",170340018066,,
196207,ИП БОЧАРОВА НАТАЛЬЯ,,670730400360,
196167,"""NEIRO - KZ"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",190840006044,,
196067,ИП МӘРТЕБЕ,,611212402481,
196027,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕТСКАЯ СТОМАТОЛОГИЯ ШЫМКЕНТ""",210340031390,,
195987,ИП ЕРМУРАТОВ НУРЛАН ФАРХАТОВИЧ,,850329301063,
195947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DENTAL LIFE""",200840017341,,
195867,"""""NUR"" СТОМАТОЛОГИЯЛЫҚ КЛИНИКАСЫ"""" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",200940015225,,
195827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PROGRESSIVE CONSTRUCTION""",050440002673,,
195707,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SONOMED""",210340005272,,
195647,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DIDI DENT""",210740009408,,
195587,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""ДАЛИЯ МЕД""""",201240004093,,
195507,ИП КУСАИНОВА АЯН,,660121401960,
195347,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИКЛИНИКА САЯЛЫ""",201240010404,,
195247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDIC GROUP""",210640041943,,
195187,ИП ОСПАНОВА,,701126401306,
195107,"ФИЛИАЛ ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""CENTRE NOVA DIAGNOSTIC"" В ГОРОДЕ ПАВЛОДАР",180741026871,,
195067,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""VITA-MED-TALDYKORGAN""",210540023377,,
195007,ИП МУСРАЛИЕВ НУРЖАН,,830412302297,
194967,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР NEURO&LIFE;""",210440036662,,
194887,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР СЕМЕЙНОГО ЗДОРОВЬЯ ""ДЕНСАУЛЫQ""""",180940023105,,
194847,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР МОЛЕКУЛЯРНОЙ МЕДИЦИНЫ - ШЫМКЕНТ""",210540012450,,
194767,ИП ТАЛКАНБАЕВА МАРУСЯ,,480621450126,
194667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICAL DEVELOPMENT""",170340030332,,
194607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЦИОНАЛЬНАЯ АУДИТОРСКАЯ ОРГАНИЗАЦИЯ""",210740017479,,
194527,"ТОО ""RICSTOM""",210740004338,,
194467,"ТОО ""ЦЕНТР МЕДИЦИНСКИХ ИССЛЕДОВАНИЙ ""DIAGNOSTIC""",191240018435,,
