№,Организатор,Название объявления,Способ закупки,Вид предмета закупки,Дата начала приема заявок,Дата окончания приема заявок,Кол-во лотов,Сумма объявления,Статус
409120-1,"ФИЛИАЛ ПО ГОРОДУ АСТАНА НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-20 17:00:00,2022-05-25 15:00:00,2,845 509 466.99,Завершено
409080-1,"ФИЛИАЛ ПО ПАВЛОДАРСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-20 17:00:00,2022-05-24 18:00:00,3,349 491 127.64,Завершено
409040-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-19 18:10:00,2022-05-23 12:00:00,1,958 279 685.81,Завершено
409020-1,Филиал по Костанайской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения./
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-19 17:50:00,2022-05-20 17:50:00,1,280 000 000.00,Завершено
409000-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-19 17:00:00,2022-05-23 12:00:00,3,337 096 886.28,Завершено
408980-1,"ФИЛИАЛ ПО АКТЮБИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-19 18:00:00,2022-05-20 18:00:00,2,818 243 142.70,Завершено
408920-1,"ФИЛИАЛ ПО АКТЮБИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-19 11:00:00,2022-05-20 11:00:00,2,5 012 854.02,Завершено
408820-1,"ФИЛИАЛ ПО ЖАМБЫЛСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-18 18:00:00,2022-05-23 14:00:00,1,351 762 306.28,Завершено
408800-1,Филиал по Костанайской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.
Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.",Закуп медицинских услуг,Услуга,2022-05-18 17:50:00,2022-05-19 17:50:30,1,3 479 954.66,Завершено
408780-1,"ФИЛИАЛ ПО ГОРОДУ ШЫМКЕНТ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-18 16:35:00,2022-05-19 16:35:00,1,107 123 842.97,Завершено
408740-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения./
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-18 16:00:00,2022-05-19 17:00:00,2,91 400 006.57,Завершено
408540-1,"ФИЛИАЛ ПО АТЫРАУСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП. Доп.закуп] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл - ТМККК] (Қосымша закуп) Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-18 17:15:00,2022-05-19 17:15:00,1,55 000 000.00,Завершено
408420-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-18 16:10:00,2022-05-20 19:30:00,7,393 286 904.39,Завершено
408400-1,"ФИЛИАЛ ПО ГОРОДУ ШЫМКЕНТ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-18 16:00:00,2022-05-19 16:00:00,2,28 266 080.73,Завершено
408360-1,"ФИЛИАЛ ПО СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения, претендующих на оказание медицинских услуг в системе обязательного социального медицинского страхования
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-18 10:00:00,2022-05-19 18:30:00,1,758 531 531.98,Завершено
408340-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения./
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-17 20:00:00,2022-05-19 17:00:00,1,1 841 983 717.36,Завершено
408280-1,"Филиал по Алматинской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения./
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-18 09:00:00,2022-05-20 09:00:00,1,16 716 267.28,Завершено
406401-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","Размещение ГОБМП Мангистауская область 2022
Размещение ГОБМП Мангистауская область 2022",Закуп медицинских услуг,Услуга,2022-01-01 00:00:00,2022-05-17 14:58:38,2,1 313 041 775.51,Завершено
406501-1,"ФИЛИАЛ ПО ГОРОДУ ШЫМКЕНТ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Размещение ГОБМП г.Шымкент 2022
Размещение ГОБМП г.Шымкент 2022",Закуп медицинских услуг,Услуга,2022-01-01 00:00:00,2022-05-17 14:44:33,2,2 969 428 027.36,Завершено
406401-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","Размещение ГОБМП Мангистауская область 2022
Размещение ГОБМП Мангистауская область 2022",Закуп медицинских услуг,Услуга,2022-01-01 00:00:00,2022-05-11 15:31:09,2,1 214 161 927.20,Завершено
408120-1,"ФИЛИАЛ ПО ТУРКЕСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения, претендующих на оказание медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи
Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-11 12:00:00,2022-05-13 12:00:00,3,303 495 982.46,Завершено
408100-1,"ФИЛИАЛ ПО ТУРКЕСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения, претендующих на оказание медицинских услуг в системе обязательного социального медицинского страхования
Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-11 12:00:00,2022-05-13 12:00:00,2,1 564 024 351.30,Завершено
408060-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-06 18:00:00,2022-05-12 12:00:00,6,742 968 016.72,Завершено
408040-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-06 18:00:00,2022-05-12 12:00:00,2,348 927 153.23,Завершено
407940-1,"ФИЛИАЛ ПО АТЫРАУСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] (Доп. закуп) Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
2022 жыл - ТМККК Қосымша закуп Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-06 16:40:00,2022-05-11 16:40:00,1,6 289 500.61,Завершено
407740-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства
Дәрілік затты сатып алу",Тендер,Товар,2022-05-24 09:00:00,2022-05-26 10:00:00,1,69 241 610.00,Завершено
407720-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств
Дәрілік заттарды сатып алу",Тендер,Товар,2022-05-19 09:00:00,2022-05-23 10:00:00,11,1 049 921 103.75,Завершено
407700-1,"ФИЛИАЛ ПО ЖАМБЫЛСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-04 09:00:00,2022-05-07 09:00:00,7,354 669 897.49,Завершено
407680-1,"ФИЛИАЛ ПО ЖАМБЫЛСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2022-05-04 09:00:00,2022-05-07 09:00:00,4,133 572 525.62,Завершено
407660-1,Филиал по Акмолинской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-13 09:00:29,2022-05-16 14:55:00,8,1 002 648 844.49,Завершено
407640-1,"""ӘЛЕУМЕТТІК МЕДИЦИНАЛЫҚ САҚТАНДЫРУ ҚОРЫ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ҚЫЗЫЛОРДА ОБЛЫСЫ БОЙЫНША ФИЛИАЛЫ","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-03 19:00:00,2022-05-05 18:00:00,7,1 162 283 959.70,Завершено
407620-1,"""ӘЛЕУМЕТТІК МЕДИЦИНАЛЫҚ САҚТАНДЫРУ ҚОРЫ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ҚЫЗЫЛОРДА ОБЛЫСЫ БОЙЫНША ФИЛИАЛЫ","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения./
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-03 18:00:00,2022-05-05 18:00:00,3,694 412 562.68,Завершено
407600-1,Филиал по Акмолинской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-13 09:00:20,2022-05-16 14:55:00,4,538 639 421.45,Завершено
407560-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения./
[2022 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-06 09:00:03,2022-05-13 09:00:03,7,415 339 319.99,Завершено
407480-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2022 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения./
[2022 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2022-05-06 09:00:56,2022-05-13 09:00:56,3,175 917 409.09,Завершено
