Регион,Код или название услуги,Результат (текст)
область Абай,"D03.029.002 - Удаление сверхкомплектного зуба, не осложненный","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.024.001 - Лечение периодонтита с пломбированием 2 корней постоянного зуба, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.022.001 - Лечение периодонтита с пломбированием 1 корня постоянного зуба, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.022.002 - Цистоэктомия (стоматолог),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.037.001 - Извлечение инородного тела из канала коренного зуба,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.033.002 - Лечение заболеваний слюнных желез: зондирование протока слюнных желез,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.038.001 - Извлечение инородного тела из фронтального зуба,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.031.002 - Удаление доброкачественных новообразований альвеолярного отростка,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.034.001 - Комплексное лечение 1 зуба при неосложненном кариесе III степени активности, завершенное пломбой из цемента","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.037.003 - Ортодонтическая помощь детям с различными видами зубочелюстных аномалий с использованием ортодонтического съемного аппарата (ортодонтическая пластинка),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.032.002 - Удаление новообразований мягких тканей полости рта,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.034.002 - Первичная хирургическая обработка раны челюстно-лицевой области,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.037.002 - Ортодонтическая помощь детям с врожденной патологией челюстно-лицевой области с использованием аппарата для устранения зубочелюстных аномалий (ортодонтическая пластинка),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.038.002 - Гемисекция,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.030.002 - Удаление нескольких зубов в одной зоне (2-3 зуба),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.033.001 - Лечение глубокого кариеса, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.032.001 - Лечение глубокого кариеса, завершенное пломбой из цемента","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.035.002 - Операция пластики преддверия полости рта,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.031.001 - Лечение поверхностного и среднего кариеса I и II степени активности завершенное пломбой из КМХО,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.030.001 - Лечение поверхностного и среднего кариеса I и II степени активности завершенное пломбой из цемента,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.039.001 - Удаление старой пломбы,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.036.002 - Репозиция и фиксация зуба при его вывихе с пришлифовкой,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.035.001 - Комплексное лечение 1 зуба при неосложненном кариесе III степени активности, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.036.001 - Ремтерапия под контролем окрашивания зуба или местная флюоризация,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.042.001 - Медикаментозная обработка пародонтальных карманов ирригации, орошения, аппликации","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.046.001 - Вскрытие парадонтального абсцесса (в области 1 зуба),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.044.001 - Кюретаж парадонтального кармана в области 1 зуба,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.047.001 - Лечение острых форм стоматита,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.041.001 - Полное функциональное восстановление анатомической формы зуба при гипоплазии, флюорозе в 1 зубе КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.043.001 - Медикаментозная обработка пародонтальных карманов ирригации, орошения, аппликации с наложением повязки на 2-5 зубов","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.060.001 - Пришлифовка молочных зубов,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
